n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,4,circular,global,angle,45,3,0.0001042807208683061,-3.9817959753168517
4,4,circular,global,angle,46,3,9.644943269828822e-05,-4.015700322470357
4,4,circular,global,angle,47,3,7.099798938877632e-05,-4.148753950009428
4,6,linear,local,angle,0,0,8.098576352617916e-05,-4.091591318966152
4,6,linear,local,angle,1,0,9.265829599893462e-05,-4.033115690805263
4,6,linear,local,angle,2,0,0.0001211311853081832,-3.916744033044353
4,6,linear,local,angle,3,0,0.0001114435390047551,-3.952945104895002
4,6,linear,local,angle,4,0,0.0001619554311491559,-3.7906044834144788
4,6,linear,local,angle,5,0,0.00011338458360236501,-3.945445990518643
4,6,linear,local,angle,6,0,9.402854386858082e-05,-4.026740289348632
4,6,linear,local,angle,7,0,0.00011376875391977547,-3.943976998604586
4,6,linear,local,angle,8,0,7.348703494082412e-05,-4.133789275205963
4,6,linear,local,angle,9,0,0.00012003753617709581,-3.9206829272397954
4,6,linear,local,angle,10,0,8.120669737779777e-05,-4.0904081516175035
4,6,linear,local,angle,11,0,0.00010559632001020808,-3.9763512165286086
4,6,linear,local,angle,12,1,0.00011065726651005778,-3.9560200620656643
4,6,linear,local,angle,13,1,9.507263116889517e-05,-4.021944486669404
4,6,linear,local,angle,14,1,0.0001075815616164974,-3.9682621559409053
4,6,linear,local,angle,15,1,0.00010487144628840172,-3.9793427425731265
4,6,linear,local,angle,16,1,7.041953651021004e-05,-4.152306837711172
4,6,linear,local,angle,17,1,9.815658411203036e-05,-4.0080805636379075
4,6,linear,local,angle,18,1,0.00012716007949700958,-3.8956492092481283
4,6,linear,local,angle,19,1,0.0001323574920285431,-3.878251470648508
4,6,linear,local,angle,20,1,0.00011340925607581009,-3.945351498365509
4,6,linear,local,angle,21,1,9.872633023135554e-05,-4.0055670058998984
4,6,linear,local,angle,22,1,0.00010125460152041164,-3.9945852311304453
4,6,linear,local,angle,23,1,0.00014905159102668376,-3.826663383801619
4,6,linear,local,angle,24,2,8.721224252855307e-05,-4.059422546152329
4,6,linear,local,angle,25,2,9.077459900660062e-05,-4.0420356608904795
4,6,linear,local,angle,26,2,5.425035873786212e-05,-4.265597385638717
4,6,linear,local,angle,27,2,0.00016956283408558982,-3.770669333213472
4,6,linear,local,angle,28,2,9.605653307926169e-05,-4.017473092189219
